Employee_Name,EmpID,MaritalStatusID,GenderID,EmpStatusID,PerfScoreID,Salary,DOB,Sex,DateofHire,DateofTermination,EmploymentStatus,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Bernstein, Sean",10046,0,1,1,3,51044,12/22/70,M ,4/2/2012,,Active,Fully Meets,5,3,0,1/14/2019,0,13
"Biden, Lowan  M",10226,2,0,1,3,64919,12/27/58,F,8/19/2013,,Active,Fully Meets,4.2,3,0,1/10/2019,0,2
"Billis, Helen",10003,1,0,1,4,62910,9/1/1989,F,7/7/2014,,Active,Exceeds,5,3,0,2/27/2019,0,19
"Blount, Dianna",10294,0,0,1,2,66441,09/21/90,F,4/4/2011,,Active,Needs Improvement,2,3,0,2/27/2019,2,3
"Bondwell, Betsy",10267,0,0,5,3,57815,01/16/67,F,1/10/2011,4/4/2014,Voluntarily Terminated,Fully Meets,4.8,5,0,3/4/2014,0,5
"Booth, Frank",10199,0,1,4,3,103613,07/30/64,M ,2/17/2014,2/19/2016,Terminated for Cause,Fully Meets,3.5,5,7,1/10/2016,0,2
"Boutwell, Bonalyn",10081,1,0,1,3,106367,4/4/1987,F,2/16/2015,,Active,Fully Meets,5,4,3,2/18/2019,0,4
"Bozzi, Charles",10175,0,1,5,3,74312,3/10/1970,M ,9/30/2013,8/7/2014,Voluntarily Terminated,Fully Meets,3.39,3,0,2/20/2014,0,14
"Brill, Donna",10177,1,0,5,3,53492,08/24/90,F,4/2/2012,6/15/2013,Voluntarily Terminated,Fully Meets,3.35,4,0,3/4/2013,0,6
"Brown, Mia",10238,1,0,1,3,63000,11/24/87,F,10/27/2008,,Active,Fully Meets,4.5,2,6,1/15/2019,0,14
"Buccheri, Joseph  ",10184,0,1,1,3,65288,07/28/83,M ,9/29/2014,,Active,Fully Meets,3.19,3,0,2/1/2019,0,9
"Bugali, Josephine ",10203,3,0,3,3,64375,10/30/69,F,11/11/2013,,Active,Fully Meets,3.5,5,0,1/21/2019,0,17
"Bunbury, Jessica",10188,1,0,5,3,74326,6/1/1964,F,8/15/2011,8/2/2014,Voluntarily Terminated,Fully Meets,3.14,5,0,2/10/2013,1,19
"Burke, Joelle",10107,0,0,1,3,63763,3/2/1980,F,3/5/2012,,Active,Fully Meets,4.51,4,0,2/21/2019,0,3
"Burkett, Benjamin ",10181,1,1,1,3,62162,08/19/77,M ,4/4/2011,,Active,Fully Meets,3.25,5,0,1/14/2019,0,15
"Cady, Max ",10150,0,1,1,3,77692,11/22/66,M ,8/15/2011,,Active,Fully Meets,3.84,3,5,1/21/2019,0,4
"Candie, Calvin",10001,0,1,1,4,72640,8/9/1983,M ,1/28/2016,,Active,Exceeds,5,3,0,2/22/2019,0,14
"Carabbio, Judith",10085,0,0,1,3,93396,4/5/1987,F,11/11/2013,,Active,Fully Meets,4.96,4,6,1/30/2019,0,3
"Carey, Michael  ",10115,0,1,1,3,52846,2/2/1983,M ,3/31/2014,,Active,Fully Meets,4.43,3,0,2/1/2019,0,14
"Carr, Claudia  N",10082,0,0,2,3,100031,6/6/1986,F,6/30/2016,,Active,Fully Meets,5,5,6,2/18/2019,0,7
"Carter, Michelle ",10040,0,0,1,3,71860,05/15/63,F,8/18/2014,,Active,Fully Meets,5,5,0,1/21/2019,0,7
"Chace, Beatrice ",10067,0,0,1,3,61656,1/2/1951,F,9/29/2014,,Active,Fully Meets,5,4,0,2/12/2019,0,11
"Champaigne, Brian",10108,1,1,1,3,110929,2/9/1972,M ,9/6/2016,,Active,Fully Meets,4.5,5,7,1/15/2019,0,8
"Chan, Lin",10210,0,0,1,3,54237,2/12/1979,F,5/12/2014,,Active,Fully Meets,3.3,4,0,2/19/2019,0,11
"Chang, Donovan  E",10154,0,1,1,3,60380,08/24/83,M ,7/8/2013,,Active,Fully Meets,3.8,5,0,1/14/2019,0,4
"Chigurh, Anton",10200,0,1,1,3,66808,6/11/1970,M ,5/14/2012,,Active,Fully Meets,3,5,0,1/19/2019,0,17
"Chivukula, Enola",10240,0,0,5,3,64786,08/27/83,F,6/27/2011,11/15/2015,Voluntarily Terminated,Fully Meets,4.3,4,0,3/10/2015,0,3
"Cierpiszewski, Caroline  ",10168,0,0,1,3,64816,05/31/88,F,10/3/2011,,Active,Fully Meets,3.58,5,0,1/30/2019,0,3
"Clayton, Rick",10220,0,1,1,3,68678,9/5/1985,M ,9/5/2012,,Active,Fully Meets,4.7,3,6,2/27/2019,0,2
"Cloninger, Jennifer",10275,1,0,5,3,64066,08/31/81,F,5/16/2011,1/7/2013,Voluntarily Terminated,Fully Meets,4.2,5,0,5/3/2012,0,9
"Close, Phil",10269,1,1,5,3,59369,11/25/78,M ,8/30/2010,9/26/2011,Voluntarily Terminated,Fully Meets,4.2,4,0,5/4/2011,0,6
"Clukey, Elijian",10029,1,1,2,4,50373,08/26/80,M ,7/6/2016,,Active,Exceeds,4.1,4,0,2/28/2019,0,5
"Cockel, James",10261,0,1,1,3,63108,9/8/1977,M ,7/8/2013,,Active,Fully Meets,4.4,5,0,1/14/2019,0,3
"Cole, Spencer",10292,0,1,4,2,59144,8/12/1979,M ,7/11/2011,9/23/2016,Terminated for Cause,Needs Improvement,2,3,0,5/1/2016,5,16
"Corleone, Michael",10282,2,1,1,2,68051,12/17/75,M ,7/20/2010,,Active,Needs Improvement,4.13,2,0,1/14/2019,3,3
"Corleone, Vito",10019,0,1,1,4,170500,03/19/83,M ,1/5/2009,,Active,Exceeds,3.7,5,0,2/4/2019,0,15
"Cornett, Lisa ",10094,1,0,1,3,63381,03/31/77,F,1/5/2015,,Active,Fully Meets,4.73,5,0,2/14/2019,0,6
"Costello, Frank",10193,1,1,1,3,83552,08/26/86,M ,3/30/2015,,Active,Fully Meets,3.04,3,6,1/22/2019,0,2
"Crimmings,   Jean",10132,0,0,2,3,56149,4/10/1987,F,7/6/2016,,Active,Fully Meets,4.12,5,0,1/28/2019,0,15
"Cross, Noah",10083,0,1,1,3,92329,9/9/1965,M ,11/10/2014,,Active,Fully Meets,5,3,4,1/2/2019,0,5
"Daneault, Lynn",10099,0,0,1,3,65729,04/19/90,F,5/5/2014,,Active,Fully Meets,4.62,4,0,1/24/2019,0,8
"Daniele, Ann  ",10212,1,0,3,3,85028,01/18/52,F,11/10/2014,,Active,Fully Meets,3.1,5,8,2/12/2019,0,19
"Darson, Jene'ya ",10056,1,0,1,3,57583,11/5/1978,F,7/2/2012,,Active,Fully Meets,5,3,0,2/25/2019,0,1
"Davis, Daniel",10143,0,1,1,3,56294,09/14/79,M ,11/7/2011,,Active,Fully Meets,3.96,4,0,2/27/2019,0,6
"Dee, Randy",10311,1,1,1,1,56991,04/15/88,M ,7/9/2018,,Active,Fully Meets,4.3,4,3,1/31/2019,2,2
"DeGweck,  James",10070,1,1,5,3,55722,10/31/77,M ,5/16/2011,6/8/2016,Voluntarily Terminated,Fully Meets,5,4,0,4/2/2016,0,14
"Del Bosque, Keyla",10155,0,0,1,3,101199,7/5/1979,F,1/9/2012,,Active,Fully Meets,3.79,5,5,1/25/2019,0,8
"Delarge, Alex",10306,0,1,1,1,61568,11/2/1975,M ,9/29/2014,,Active,PIP,1.93,3,0,1/30/2019,6,5
"Demita, Carla",10100,3,0,5,3,58275,02/25/51,F,4/4/2011,11/4/2015,Voluntarily Terminated,Fully Meets,4.62,5,0,5/6/2015,0,1
"Desimone, Carl ",10310,1,1,1,1,53189,04/19/67,M ,7/7/2014,,Active,PIP,1.12,2,0,1/31/2019,4,9
"DeVito, Tommy",10197,0,1,1,3,96820,9/4/1983,M ,2/15/2017,,Active,Fully Meets,3.01,5,7,1/23/2019,0,15
"Dickinson, Geoff ",10276,0,1,1,3,51259,11/15/82,M ,5/12/2014,,Active,Fully Meets,4.3,4,0,2/19/2019,0,1
"Dietrich, Jenna  ",10304,0,0,1,1,59231,05/14/87,F,2/20/2012,,Active,PIP,2.3,1,0,1/29/2019,2,17
"DiNocco, Lily ",10284,1,0,1,2,61584,12/2/1978,F,1/7/2013,,Active,Needs Improvement,3.88,4,0,1/18/2019,0,6
"Dobrin, Denisa  S",10207,0,0,1,3,46335,10/7/1986,F,4/2/2012,,Active,Fully Meets,3.4,5,0,2/19/2019,0,15
"Dolan, Linda",10133,1,0,1,3,70621,07/18/88,F,1/5/2015,,Active,Fully Meets,4.11,4,6,2/25/2019,0,16
"Dougall, Eric",10028,0,1,1,4,138888,7/9/1970,M ,1/5/2014,,Active,Exceeds,4.3,5,5,1/4/2019,0,4
"Driver, Elle",10006,0,0,1,4,74241,11/8/1988,F,1/10/2011,,Active,Exceeds,4.77,5,0,1/27/2019,0,14
"Dunn, Amy  ",10105,0,0,1,3,75188,11/28/73,F,9/18/2014,,Active,Fully Meets,4.52,4,0,1/15/2019,0,4
"Dunne, Amy",10211,1,0,1,3,62514,09/23/73,F,4/26/2010,,Active,Fully Meets,2.9,3,0,1/21/2019,0,6
"Eaton, Marianne",10064,1,0,5,3,60070,9/5/1991,F,4/4/2011,6/6/2017,Voluntarily Terminated,Fully Meets,5,3,0,4/9/2017,0,7
"Engdahl, Jean",10247,0,1,1,3,48888,05/31/74,M ,11/10/2014,,Active,Fully Meets,4.7,5,0,2/13/2019,0,8
"England, Rex",10235,1,1,1,3,54285,08/25/78,M ,3/31/2014,,Active,Fully Meets,4.2,3,0,1/11/2019,0,3
"Erilus, Angela",10299,3,0,1,1,56847,08/25/89,F,7/7/2014,,Active,PIP,3,1,0,2/25/2019,2,5
"Estremera, Miguel",10280,0,1,4,2,60340,9/2/1983,M ,4/2/2012,9/27/2018,Terminated for Cause,Needs Improvement,5,4,0,4/12/2018,5,16
"Evensen, April",10296,0,0,4,2,59124,5/6/1989,F,2/17/2014,2/25/2018,Terminated for Cause,Needs Improvement,2.3,3,0,1/15/2017,5,19
"Exantus, Susan",10290,1,0,4,2,99280,05/15/87,F,5/2/2011,6/5/2013,Terminated for Cause,Needs Improvement,2.1,5,4,8/10/2012,4,19
"Faller, Megan ",10263,1,0,1,3,71776,09/22/78,F,7/7/2014,,Active,Fully Meets,4.4,5,0,2/22/2019,0,17
"Fancett, Nicole",10136,0,0,1,3,65902,09/27/87,F,2/17/2014,,Active,Fully Meets,4,4,0,1/7/2019,0,7
"Ferguson, Susan",10189,1,0,5,3,57748,04/14/55,F,11/7/2011,5/17/2016,Voluntarily Terminated,Fully Meets,3.13,3,0,2/4/2016,0,16
"Fernandes, Nilson  ",10308,1,1,1,1,64057,10/18/89,M ,5/11/2015,,Active,PIP,1.56,5,0,1/3/2019,6,15
"Fett, Boba",10309,0,1,1,1,53366,06/18/87,M ,3/30/2015,,Active,PIP,1.2,3,6,2/4/2019,3,2
"Fidelia,  Libby",10049,1,0,1,3,58530,03/16/81,F,1/9/2012,,Active,Fully Meets,5,5,0,1/29/2019,0,19
"Fitzpatrick, Michael  J",10093,0,1,5,3,72609,10/1/1981,M ,5/16/2011,6/24/2013,Voluntarily Terminated,Fully Meets,4.76,5,0,4/5/2013,0,20
"Foreman, Tanya",10163,1,0,5,3,55965,11/8/1983,F,4/4/2011,1/9/2013,Voluntarily Terminated,Fully Meets,3.66,3,0,1/7/2012,0,6
"Forrest, Alex",10305,1,1,1,3,70187,7/7/1975,M ,9/29/2014,8/19/2018,Terminated for Cause,PIP,2,5,0,1/28/2019,4,7
"Foss, Jason",10015,0,1,1,4,178000,7/5/1980,M ,4/15/2011,,Active,Exceeds,5,5,5,1/7/2019,0,15
"Foster-Baker, Amy",10080,1,0,1,3,99351,04/16/79,F,1/5/2009,,Active,Fully Meets,5,3,2,2/8/2019,0,3
"Fraval, Maruk ",10258,0,1,1,3,67251,08/28/63,M ,9/6/2011,,Active,Fully Meets,4.3,3,0,1/27/2019,2,7
"Galia, Lisa",10273,0,0,1,3,65707,7/6/1968,F,5/1/2010,,Active,Fully Meets,4.7,4,5,2/1/2019,0,1
"Garcia, Raul",10111,0,1,1,3,52249,09/15/85,M ,3/30/2015,,Active,Fully Meets,4.5,3,0,2/18/2019,0,5
"Gaul, Barbara",10257,0,0,1,3,53171,12/2/1983,F,5/16/2011,,Active,Fully Meets,4.2,4,0,2/26/2019,0,12
"Gentry, Mildred",10159,1,0,1,3,51337,10/1/1990,F,3/30/2015,,Active,Fully Meets,3.73,3,0,1/16/2019,0,19
"Gerke, Melisa",10122,2,0,5,3,51505,05/15/70,F,11/7/2011,11/15/2016,Voluntarily Terminated,Fully Meets,4.24,4,0,4/29/2016,0,2
"Gill, Whitney  ",10142,4,0,4,3,59370,7/10/1971,F,7/7/2014,9/5/2015,Terminated for Cause,Fully Meets,3.97,4,0,1/15/2014,0,7
"Gilles, Alex",10283,1,1,5,2,54933,8/9/1974,M ,4/2/2012,6/25/2015,Voluntarily Terminated,Needs Improvement,3.97,4,0,1/20/2015,3,15
"Girifalco, Evelyn",10018,0,0,1,4,57815,5/8/1980,F,9/29/2014,,Active,Exceeds,3.9,4,0,2/7/2019,0,3
"Givens, Myriam",10255,0,0,1,3,61555,09/22/89,F,2/16/2015,,Active,Fully Meets,4.5,5,0,1/25/2019,0,20
"Goble, Taisha",10246,0,0,4,3,114800,10/23/71,F,2/16/2015,3/15/2015,Terminated for Cause,Fully Meets,4.6,4,4,1/20/2015,0,10
"Goeth, Amon",10228,1,1,1,3,74679,11/24/89,M ,3/30/2015,,Active,Fully Meets,4.3,5,7,1/10/2019,0,20
"Gold, Shenice  ",10243,0,0,1,3,53018,06/18/92,F,11/11/2013,,Active,Fully Meets,4.3,5,0,2/18/2019,0,7
"Gonzalez, Cayo",10031,2,1,1,4,59892,09/29/69,M ,7/11/2011,,Active,Exceeds,4.5,4,0,2/18/2019,0,1
"Gonzalez, Juan",10300,1,1,5,1,68898,10/12/1964,M ,4/26/2010,5/30/2011,Voluntarily Terminated,PIP,3,3,0,3/6/2011,3,10
"Gonzalez, Maria",10101,3,0,1,3,61242,04/16/81,F,1/5/2015,,Active,Fully Meets,4.61,4,5,1/28/2019,0,11
"Good, Susan",10237,1,0,3,3,66825,05/25/86,F,5/12/2014,,Active,Fully Meets,4.6,3,0,2/7/2019,0,20
"Gordon, David",10051,1,1,1,3,48285,05/21/79,M ,7/2/2012,,Active,Fully Meets,5,3,0,1/14/2019,0,2
"Gosciminski, Phylicia  ",10218,3,0,3,3,66149,12/8/1983,F,9/30/2013,,Active,Fully Meets,4.4,5,0,2/21/2019,0,1
"Goyal, Roxana",10256,1,0,3,3,49256,10/9/1974,F,8/19/2013,,Active,Fully Meets,4.1,5,0,2/15/2019,0,3
"Gray, Elijiah  ",10098,2,1,1,3,62957,7/11/1981,M ,6/2/2015,,Active,Fully Meets,4.63,3,0,1/4/2019,0,2
"Gross, Paula",10059,2,0,5,3,63813,05/21/83,F,2/21/2011,1/11/2014,Voluntarily Terminated,Fully Meets,5,5,0,6/3/2013,0,17
"Gruber, Hans",10234,1,1,1,3,99020,06/30/89,M ,4/20/2017,,Active,Fully Meets,4.2,5,5,1/28/2019,0,8
"Guilianno, Mike",10109,0,1,5,3,71707,2/9/1969,M ,3/7/2012,10/31/2014,Voluntarily Terminated,Fully Meets,4.5,5,0,2/1/2013,0,20
"Handschiegl, Joanne",10125,1,0,1,3,54828,03/23/77,F,11/28/2011,,Active,Fully Meets,4.2,4,0,2/22/2019,0,13
"Hankard, Earnest",10074,0,1,1,3,64246,8/10/1988,M ,11/11/2013,,Active,Fully Meets,5,3,0,1/8/2019,0,20
"Harrington, Christie ",10097,0,0,5,3,52177,08/18/52,F,1/9/2012,12/15/2015,Voluntarily Terminated,Fully Meets,4.64,4,0,5/2/2015,0,8
"Harrison, Kara",10007,1,0,1,4,62065,5/2/1974,F,5/12/2014,,Active,Exceeds,4.76,4,0,2/15/2019,0,5
"Heitzman, Anthony",10129,0,1,1,3,46998,1/4/1984,M ,8/13/2012,,Active,Fully Meets,4.17,4,0,2/11/2019,0,1
"Hendrickson, Trina",10075,0,0,5,3,68099,08/27/72,F,1/10/2011,6/18/2013,Voluntarily Terminated,Fully Meets,5,3,0,1/30/2013,0,15
"Hitchcock, Alfred",10167,1,1,1,3,70545,09/14/88,M ,8/18/2014,,Active,Fully Meets,3.6,5,0,1/30/2019,0,9
"Homberger, Adrienne  J",10195,1,0,5,3,63478,02/16/84,F,8/15/2011,4/7/2012,Voluntarily Terminated,Fully Meets,3.03,5,0,3/5/2012,0,16
"Horton, Jayne",10112,0,0,1,3,97999,02/21/84,F,3/30/2015,,Active,Fully Meets,4.48,5,6,1/3/2019,0,4
"Houlihan, Debra",10272,1,0,1,3,180000,03/17/66,F,5/5/2014,,Active,Fully Meets,4.5,4,0,1/21/2019,0,19
"Howard, Estelle",10182,1,0,1,3,49920,09/16/85,F,2/16/2015,4/15/2015,Terminated for Cause,Fully Meets,3.24,3,4,4/15/2015,0,6
"Hudson, Jane",10248,0,0,1,3,55425,6/10/1986,F,2/20/2012,,Active,Fully Meets,4.8,4,0,1/7/2019,0,4
"Hunts, Julissa",10201,0,0,2,3,69340,3/11/1984,F,6/6/2016,,Active,Fully Meets,3,5,0,1/18/2019,0,4
"Hutter, Rosalie",10214,3,0,2,3,64995,5/7/1992,F,6/5/2015,,Active,Fully Meets,4.5,3,0,2/14/2019,0,6
"Huynh, Ming",10160,2,0,5,3,68182,09/22/76,F,2/21/2011,4/1/2013,Voluntarily Terminated,Fully Meets,3.72,3,0,2/1/2013,0,18
"Immediato, Walter",10289,1,1,5,2,83082,11/15/76,M ,2/21/2011,9/24/2012,Voluntarily Terminated,Needs Improvement,2.34,2,0,4/12/2012,3,4
"Ivey, Rose ",10139,0,0,1,3,51908,01/28/91,F,8/19/2013,,Active,Fully Meets,3.99,3,0,1/14/2019,0,14
"Jackson, Maryellen",10227,0,0,1,3,61242,9/11/1972,F,11/5/2012,,Active,Fully Meets,4.1,3,0,1/17/2019,0,7
"Jacobi, Hannah  ",10236,2,0,1,3,45069,03/22/66,F,9/30/2013,,Active,Fully Meets,4.3,5,0,2/22/2019,0,7
"Jeannite, Tayana",10009,2,0,1,4,60724,11/6/1986,F,7/5/2011,,Active,Exceeds,4.6,4,0,2/25/2019,0,11
"Jhaveri, Sneha  ",10060,3,0,1,3,60436,04/13/64,F,1/6/2014,,Active,Fully Meets,5,5,0,1/21/2019,0,9
"Johnson, George",10034,1,1,5,4,46837,08/19/59,M ,11/7/2011,4/29/2018,Voluntarily Terminated,Exceeds,4.7,4,0,2/14/2018,0,9
"Johnson, Noelle ",10156,1,0,3,3,105700,11/7/1986,F,1/5/2015,,Active,Fully Meets,3.75,3,5,2/11/2019,0,2
"Johnston, Yen",10036,0,0,1,4,63322,9/8/1969,F,7/7/2014,,Active,Exceeds,4.3,3,0,1/11/2019,0,1
"Jung, Judy  ",10138,1,0,5,3,61154,04/17/86,F,1/10/2011,4/1/2016,Voluntarily Terminated,Fully Meets,4,4,0,2/3/2016,0,4
"Kampew, Donysha",10244,0,0,5,3,68999,11/11/1989,F,11/7/2011,4/24/2014,Voluntarily Terminated,Fully Meets,4.5,5,0,3/30/2013,0,2
"Keatts, Kramer ",10192,0,1,1,3,50482,01/19/76,M ,9/30/2013,,Active,Fully Meets,3.07,4,0,1/23/2019,0,10
"Khemmich, Bartholemew",10231,0,1,1,3,65310,11/27/79,M ,8/19/2013,,Active,Fully Meets,4.3,5,0,1/22/2019,0,13
"King, Janet",10089,1,0,1,3,250000,09/21/54,F,7/2/2012,,Active,Fully Meets,4.83,3,0,1/17/2019,0,10
"Kinsella, Kathleen  ",10166,1,0,5,3,54005,12/8/1973,F,9/26/2011,6/4/2015,Voluntarily Terminated,Fully Meets,3.6,5,0,3/1/2015,0,16
"Kirill, Alexandra  ",10170,1,0,5,3,45433,10/8/1970,F,9/26/2011,1/9/2014,Voluntarily Terminated,Fully Meets,3.49,4,0,1/30/2013,0,6
"Knapp, Bradley  J",10208,0,1,1,3,46654,11/10/1977,M ,2/17/2014,,Active,Fully Meets,3.1,3,0,2/6/2019,0,3
"Kretschmer, John",10176,1,1,1,3,63973,2/2/1980,M ,1/10/2011,,Active,Fully Meets,3.38,3,0,1/21/2019,0,17
"Kreuger, Freddy",10165,0,1,1,3,71339,02/24/69,M ,3/7/2011,,Active,Fully Meets,3.65,5,0,1/17/2019,0,20
"Lajiri,  Jyoti",10113,1,1,3,3,93206,04/23/86,M ,11/10/2014,,Active,Fully Meets,4.46,5,6,1/7/2019,0,7
"Landa, Hans",10092,1,1,4,3,82758,7/1/1972,M ,1/10/2011,12/12/2015,Terminated for Cause,Fully Meets,4.78,4,0,2/15/2015,0,9
"Langford, Lindsey",10106,2,0,5,3,66074,07/25/79,F,1/7/2013,3/31/2014,Voluntarily Terminated,Fully Meets,4.52,3,0,2/20/2014,0,20
"Langton, Enrico",10052,1,1,1,3,46120,12/9/1986,M ,7/9/2012,,Active,Fully Meets,5,5,0,2/4/2019,0,13
"LaRotonda, William  ",10038,2,1,1,3,64520,04/26/84,M ,1/6/2014,,Active,Fully Meets,5,4,4,1/17/2019,0,3
"Latif, Mohammed",10249,1,1,5,3,61962,5/9/1984,M ,4/2/2012,4/15/2013,Voluntarily Terminated,Fully Meets,4.9,3,0,2/20/2013,0,20
"Le, Binh",10232,0,0,1,3,81584,06/14/87,F,10/2/2016,,Active,Fully Meets,4.1,5,7,1/8/2019,0,2
"Leach, Dallas",10087,0,0,5,3,63676,01/17/79,F,9/26/2011,8/19/2018,Voluntarily Terminated,Fully Meets,4.88,3,0,7/2/2017,0,17
"LeBlanc, Brandon  R",10134,1,1,1,3,93046,6/10/1984,M ,1/5/2016,,Active,Fully Meets,4.1,4,0,1/28/2019,0,20
"Lecter, Hannibal",10251,1,1,1,3,64738,9/2/1982,M ,5/14/2012,,Active,Fully Meets,4.1,3,0,2/22/2019,0,10
"Leruth, Giovanni",10103,3,1,1,3,70468,12/27/88,M ,4/30/2012,,Active,Fully Meets,4.53,3,0,1/29/2019,0,16
"Liebig, Ketsia",10017,1,0,1,4,77915,10/26/81,F,9/30/2013,,Active,Exceeds,4.1,3,0,1/21/2019,0,11
"Linares, Marilyn ",10186,1,0,5,3,52624,03/26/81,F,7/5/2011,9/26/2018,Voluntarily Terminated,Fully Meets,3.18,4,0,3/2/2018,0,16
"Linden, Mathew",10137,1,1,3,3,63450,03/19/79,M ,7/8/2013,,Active,Fully Meets,4,3,0,2/18/2019,0,7
"Lindsay, Leonara ",10008,0,0,1,4,51777,10/5/1988,F,1/21/2011,,Active,Exceeds,4.64,4,5,1/25/2019,0,14
"Lundy, Susan",10096,4,0,5,3,67237,12/26/76,F,7/8/2013,9/15/2016,Voluntarily Terminated,Fully Meets,4.65,4,0,6/10/2016,0,15
"Lunquist, Lisa",10035,0,0,1,4,73330,03/28/82,F,8/19/2013,,Active,Exceeds,4.2,4,0,2/12/2019,0,19
"Lydon, Allison",10057,1,0,3,3,52057,10/22/75,F,2/16/2015,,Active,Fully Meets,5,3,0,1/23/2019,0,6
"Lynch, Lindsay",10004,0,0,5,4,47434,02/14/73,F,11/7/2011,11/14/2015,Voluntarily Terminated,Exceeds,5,4,0,2/2/2015,0,17
"MacLennan, Samuel",10191,4,1,5,3,52788,11/9/1972,M ,9/24/2012,9/26/2017,Voluntarily Terminated,Fully Meets,3.08,4,0,4/1/2017,0,18
"Mahoney, Lauren  ",10219,0,0,1,3,45395,7/7/1986,F,1/6/2014,,Active,Fully Meets,4.6,4,0,2/26/2019,0,14
"Manchester, Robyn",10077,1,0,2,3,62385,08/25/76,F,5/11/2016,,Active,Fully Meets,5,3,0,1/21/2019,0,4
"Mancuso, Karen",10073,1,0,5,3,68407,12/10/1986,F,7/5/2011,8/19/2012,Voluntarily Terminated,Fully Meets,5,4,0,7/2/2012,0,16
"Mangal, Debbie",10279,1,0,1,3,61349,11/7/1974,F,11/11/2013,,Active,Fully Meets,4.1,3,0,1/22/2019,0,11
"Martin, Sandra",10110,0,0,1,3,105688,11/7/1987,F,11/11/2013,,Active,Fully Meets,4.5,5,4,1/14/2019,0,14
"Maurice, Shana",10053,1,0,1,3,54132,11/22/77,F,5/31/2011,,Active,Fully Meets,5,4,0,1/10/2019,0,8
"Carthy, B'rigit",10076,0,0,1,3,55315,05/21/87,F,3/30/2015,,Active,Fully Meets,5,5,0,2/7/2019,0,16
"Mckenna, Sandy",10145,1,0,1,3,62810,1/7/1987,F,1/7/2013,,Active,Fully Meets,3.93,3,0,1/30/2019,0,20
